Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.25     0.00      185     0.00     0.00  new_expr_binary
  0.00      0.25     0.00      180     0.00     0.00  is_token_eof
  0.00      0.25     0.00      180     0.00     0.00  parse_stmt
  0.00      0.25     0.00      168     0.00     0.00  ast_dup
  0.00      0.25     0.00      162     0.00     0.00  match_token
  0.00      0.25     0.00      128     0.00     0.00  new_stmt_assign
  0.00      0.25     0.00      123     0.00     0.00  is_assign_op
  0.00      0.25     0.00      123     0.00     0.00  parse_simple_stmt
  0.00      0.25     0.00      116     0.00     0.00  expect_keyword
  0.00      0.25     0.00       87     0.00     0.00  sym_get_func
  0.00      0.25     0.00       63     0.00     0.00  is_end_of_block
  0.00      0.25     0.00       63     0.00     0.00  new_sym
  0.00      0.25     0.00       60     0.00     0.00  new_StmtBlock
  0.00      0.25     0.00       58     0.00     0.00  expect_token
  0.00      0.25     0.00       57     0.00     0.00  scan_float
  0.00      0.25     0.00       57     0.00     0.00  token_float_val
  0.00      0.25     0.00       54     0.00     0.00  new_expr_float
  0.00      0.25     0.00       54     0.00     0.00  token_end
  0.00      0.25     0.00       54     0.00     0.00  token_start
  0.00      0.25     0.00       39     0.00     0.00  clear_stream
  0.00      0.25     0.00       39     0.00     0.00  scan_str
  0.00      0.25     0.00       39     0.00     0.00  token_str_val
  0.00      0.25     0.00       38     0.00     0.00  parse_select_case_pattern
  0.00      0.25     0.00       37     0.00     0.00  new_expr_str
  0.00      0.25     0.00       37     0.00     0.00  new_typespec
  0.00      0.25     0.00       36     0.00     0.00  init_builtin_type
  0.00      0.25     0.00       36     0.00     0.00  sym_push_type
  0.00      0.25     0.00       33     0.00     0.00  new_select_case_pattern
  0.00      0.25     0.00       33     0.00     0.00  new_typespec_name
  0.00      0.25     0.00       33     0.00     0.00  parse_stmt_select_case
  0.00      0.25     0.00       33     0.00     0.00  parse_type
